trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,0,-85.99647938096028,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-53.47427598779663,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-119.84943200981567,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,4.25874687432318,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,10,-24.619488632092818,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,8,-4.656041110842435,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-150.07276588270432,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-63.568718370390656,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.611117239532865}",20,8,-5.456152522841066,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,0,-87.05964427473167,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.598956006466161}",30,0,-112.51758955881752,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,10,-5.091542745877219,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-20.795244843317167,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,15,-79.73239726832931,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,12,2.5468443702545787,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,0,-81.5993050568152,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5639051904523875}",20,0,1.839889038349889,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5582661385478637}",30,0,-100.72704232079417,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,0,-81.67562668881358,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-76.40498560809664,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,15,3.2614788578407845,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.536268225207185}",25,9,-59.819472485953106,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.5309055429551132}",30,0,-73.43466522740769,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.525596487525562}",20,3,-83.16198961105212,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.5203405226503064}",30,0,-46.82567947466459,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,15,-12.453923396043372,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,9,-14.347195715820284,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,6,-61.26465370008169,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,0,-70.1556282411041,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,7,-22.67705975435387,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4898902730042049}",30,8,-69.57028391622173,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.48499137027416284}",30,0,-97.76967549466168,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,0,-115.25730430147239,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.47534004200570695}",25,8,17.28478887190054,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,1,15.438980471538882,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46588077516979337}",25,0,-64.91919732573533,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,13,13.85814780199727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4566097477439145}",25,1,-7.538848529420015,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,0,-16.06737324260862,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,16,-48.817543552661384,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,1,-32.03370605766389,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43861750180991077}",25,10,16.185750972934738,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43423132679181164}",30,19,-51.14258844105135,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,0,-194.66597375866337,"{0: 9, 1: 1, 2: 4, 3: 4, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.4255901233886546}",25,17,1.5989717228496458,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.421334222154768}",25,2,-21.23925134785735,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41712087993322033}",20,9,-17.227353216083458,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
